형태소,품사,분류,카운트
고,Noun,8,1
고가,Noun,1,1
고뇌,Noun,1,1
고려,Noun,3,1
고민,Noun,9,1
고생,Noun,2,1
고유,Noun,6,1
고유치,Noun,1,1
고쳐지지,Verb,1,1
고치는거,Verb,1,1
곧,Noun,5,1
골,Noun,7,1
골치,Noun,10,1
곳,Noun,3,1
곳곳,Noun,6,1
공,Modifier,1,2
공,Noun,6,1
공감,Noun,1,1
공격,Noun,1,1
공격,Noun,10,1
공사,Noun,6,1
공짜,Noun,1,1
과,Josa,1,6
과,Josa,2,2
과,Josa,4,1
과,Josa,5,4
과,Josa,6,2
과,Josa,7,4
과,Josa,8,2
과,Josa,9,3
과,Josa,10,7
과거,Noun,8,1
과는,Josa,4,1
과는,Josa,5,1
과는,Josa,7,1
과는,Josa,9,1
과는,Josa,10,1
과도,Noun,6,1
과연,Noun,9,2
과의,Josa,1,1
과의,Josa,5,1
과의,Josa,8,1
과장,Noun,1,1
과정,Noun,5,1
과정,Noun,10,2
관,Noun,10,1
관객,Noun,6,1
관람,Noun,6,1
관람객,Noun,5,1
관람객,Noun,8,1
광고,Noun,1,1
괜찮,Adjective,8,1
괜찮다,Adjective,1,1
괜찮다,Adjective,9,1
괜찮아지기,Adjective,7,1
괜찮앗나,Adjective,6,1
괜찮았는데,Adjective,7,1
괜찮았음,Adjective,7,1
괜찮은,Adjective,10,1
괜찮을,Adjective,1,1
괜찮음,Adjective,7,1
괜춘합니,Noun,8,1
괜히,Adverb,1,1
괴수,Noun,7,1
굉장한,Adjective,5,1
굉장히,Adjective,1,1
교체,Noun,5,1
교훈,Noun,10,1
구,Modifier,1,2
구,Modifier,3,1
구,Noun,1,10
구,Noun,4,2
구,Noun,5,3
구,Noun,6,4
구,Noun,8,2
구,Noun,10,1
구경,Noun,3,1
구나,Noun,1,1
구니,Noun,10,1
구로,Noun,7,1
구립니다,Adjective,7,1
구매,Noun,10,1
구멍,Noun,1,1
구멍,Noun,8,1
구분,Noun,2,1
구성,Noun,1,1
구성,Noun,10,1
구슬,Noun,4,2
구지,Noun,6,1
구한,Noun,1,1
구한,Noun,5,1
구함,Noun,1,1
구함,Noun,10,1
구해,Noun,5,1
군데군데,Noun,10,1
굳,Adjective,10,4
굳이,Noun,1,1
굳이,Noun,5,2
굳이,Noun,6,2
굿,Noun,8,1
굿,Noun,9,1
굿,Noun,10,1
궁금하네요,Adjective,10,1
궁금한게,Adjective,4,1
귀,Noun,10,1
귀여웠음,Adjective,7,1
귀여웡,Noun,10,1
귀엽고,Adjective,8,1
귀찮아서,Adjective,10,1
균형,Noun,1,1
균형,Noun,6,1
그,Determiner,1,3
그,Determiner,2,1
그,Determiner,5,1
그,Determiner,6,1
그,Determiner,7,2
그,Determiner,10,1
그,Modifier,1,1
그,Noun,1,8
그,Noun,3,1
그,Noun,5,1
그,Noun,6,1
그,Noun,7,4
그,Noun,10,3
그거,Noun,10,1
그것,Noun,1,1
그것,Noun,6,1
그것,Noun,9,1
그것,Noun,10,2
그게,Noun,6,1
그게,Noun,7,1
그나마,Adverb,5,1
그나마,Adverb,7,2
그나마,Adverb,8,1
그냥,Modifier,1,3
그냥,Modifier,7,1
그냥,Modifier,8,2
그냥,Noun,1,8
그냥,Noun,2,1
그냥,Noun,3,1
그냥,Noun,4,3
그냥,Noun,5,4
그냥,Noun,6,8
그냥,Noun,7,6
그냥,Noun,8,1
그냥,Noun,10,2
그닥,Noun,4,1
그닥,Noun,6,1
그대로,Noun,1,1
그동안,Noun,1,1
그래,Adjective,1,2
그래도,Adverb,1,1
그래도,Adverb,6,2
그래도,Adverb,7,2
그래도,Adverb,8,4
그래도,Adverb,10,2
그래서,Adverb,5,1
그래서,Adverb,6,2
그래서,Adverb,10,2
그래요,Adjective,5,1
그래픽,Noun,10,1
그래픽노블,Noun,10,1
그랬냐,Adjective,6,1
그랬냐,Adjective,8,1
그랬니,Adjective,1,1
그랬데요,Adjective,7,1
그랴,Noun,6,1
그러나,Conjunction,7,2
그러는데,Adjective,10,1
그러니,Adjective,7,1
그러니까,Adverb,6,1
그러면,Adverb,1,1
그러지,Adjective,8,1
그럭저럭,Adverb,6,1
그럭저럭,Adverb,7,1
그런,Adjective,10,2
그런,Modifier,7,1
그런게,Adjective,10,1
그런지,Adjective,8,1
그럼,Adjective,5,1
그렇게,Adverb,1,3
그렇게,Adverb,5,1
그렇게,Adverb,8,1
그렇고,Adjective,1,2
그렇네요,Adjective,7,1
그렇다,Adjective,6,1
그렇다,Adjective,7,1
그렇다고,Conjunction,1,1
그렇다치고,Adjective,7,1
그렇다치지만,Adjective,1,1
그렇듯,Adjective,6,1
그리,Verb,8,1
그리고,Conjunction,1,1
그리고,Conjunction,4,5
그리고,Conjunction,5,1
그리고,Conjunction,7,1
그리고,Conjunction,8,2
그리고,Conjunction,10,1
그리워,Adjective,7,1
그린랜턴,Noun,10,2
그릴,Noun,6,1
그립다,Verb,6,1
그만,Adverb,1,1
그만,Adverb,5,1
그만,Modifier,7,1
그저,Adverb,5,1
그저,Adverb,6,1
그저,Adverb,10,1
그중,Adverb,1,1
그치만,Verb,2,1
극,Modifier,1,1
극,Modifier,9,1
극복,Noun,9,1
극본,Noun,6,1
극상,Noun,10,1
극장,Noun,8,2
극장,Noun,10,1
극장판,Noun,10,1
근,Modifier,7,1
근데,Adverb,8,1
근데,Adverb,10,2
근육,Noun,7,1
근육남,Noun,8,1
글,Noun,1,1
글,Noun,3,1
글쎄요,Noun,7,1
급,Noun,1,4
급,Noun,4,1
급,Noun,5,1
급,Noun,7,1
급,Suffix,1,3
급,Suffix,4,1
급,Suffix,10,1
급변,Noun,9,1
급전,Noun,1,1
급하긴,Adjective,8,1
급했나,Adjective,8,1
긋네요,Verb,1,1
기,Modifier,5,2
기,Modifier,6,1
기,Modifier,7,2
기,Modifier,8,2
기,Modifier,9,3
기,Modifier,10,7
기,Noun,1,3
기계,Noun,1,1
기계,Noun,6,1
기다려,Verb,6,1
기다려진다,Verb,10,1
기다렸다가,Verb,10,1
기대,Noun,1,3
기대,Noun,4,2
기대,Noun,5,2
기대,Noun,6,4
기대,Noun,7,8
기대,Noun,8,9
기대,Noun,9,2
기대,Noun,10,5
기대는,Verb,6,1
기대하게,Adjective,10,1
기대하고,Adjective,5,1
기대하고,Adjective,10,1
기대하자,Adjective,1,1
기대해었는데,Adjective,7,1
기대했건만,Adjective,5,1
기대했는데,Adjective,4,1
기대했는데,Adjective,6,1
기대했던,Adjective,1,1
기대했던,Adjective,6,1
기대했으나,Adjective,1,1
기대했지만,Adjective,4,1
기도,Noun,5,1
기도,Noun,6,1
기령,Noun,10,1
기본,Noun,2,1
기부,Noun,2,1
기분,Noun,6,1
기분,Noun,9,1
기쁨조,Noun,1,1
기사,Noun,1,2
기사도,Noun,1,1
기술,Noun,1,2
기승,Noun,6,2
기억,Noun,1,2
기억남는건,Verb,5,1
기용,Noun,1,1
기원,Noun,10,1
기인,Noun,7,1
기전,Noun,1,1
기존,Noun,6,1
긴,Verb,10,1
긴장,Noun,10,1
긴장감,Noun,1,1
긴장감,Noun,3,1
긴장감,Noun,4,1
긴장감,Noun,6,1
긴장감,Noun,7,1
긴장감,Noun,8,1
긴장감,Noun,9,1
길,Noun,5,1
길,Noun,6,1
길게,Adjective,6,1
길어서,Verb,10,1
길었으면,Adjective,8,1
길이,Noun,6,1
김정은,Noun,10,1
깊었고,Adjective,6,1
까,Verb,1,1
까,Verb,7,1
까,Verb,10,1
까고,Verb,9,1
까지,Josa,1,7
까지,Josa,2,1
까지,Josa,4,3
까지,Josa,6,1
까지,Josa,9,1
까지,Josa,10,6
까지는,Josa,10,1
까지만,Josa,7,1
까지의,Josa,10,1
까진,Josa,2,1
까진,Josa,8,1
까진,Josa,10,1
깔린,Verb,1,1
깜박,Noun,7,1
깨,Noun,1,1
깨고,Verb,1,1
깨다를,Verb,1,1
깨알,Noun,6,1
깨알,Noun,10,1
깨우지,Verb,8,1
깨진,Verb,1,1
깻다,Noun,1,1
꺼,Verb,7,1
꺼리는,Verb,8,1
꼬박꼬박,Noun,1,1
꼭,Noun,1,2
꼭,Noun,9,1
꼭,Noun,10,2
꼴,Noun,4,1
꼽습니,Noun,1,1
꽃,Noun,3,1
꽃들이,Noun,1,1
꾼,Suffix,5,1
꿀,Noun,10,1
꿀잠,Noun,2,1
꿈,Noun,1,2
꿰어,Noun,4,1
꿰어놓,Noun,4,1
끊기는,Verb,6,1
끌어,Verb,1,1
끓이다가,Verb,6,1
끝,Noun,1,4
끝,Noun,3,1
끝,Noun,5,2
끝,Noun,6,3
끝,Noun,7,2
끝,Noun,10,1
끝나고,Verb,1,1
끝나고,Verb,3,1
끝나고,Verb,10,1
끝나도,Verb,1,1
끝나도,Verb,10,1
끝난듯,Verb,4,1
끝난듯,Verb,6,2
끝남,Verb,1,1
끝났다,Verb,1,1
끝내면,Verb,1,1
끝냈어야,Verb,1,1
끝판,Noun,8,1
낀,Verb,5,1
나,Josa,1,5
나,Josa,4,1
나,Josa,5,1
나,Josa,6,2
나,Josa,7,1
나,Josa,8,2
나,Josa,9,1
나,Josa,10,1
나,Noun,1,4
나,Noun,3,1
나,Noun,5,1
나,Noun,6,1
나,Noun,10,1
나가,Verb,7,1
나가길,Verb,7,1
나고,Verb,10,1
나도,Verb,4,1
나들이,Noun,10,1
나란히,Adjective,3,1
나름,Noun,5,1
나름,Noun,7,2
나름,Noun,8,4
나머지,Noun,1,1
나머지,Noun,5,2
나머지,Noun,6,2
나머지,Noun,7,1
나쁘지,Adjective,7,1
나쁘지는,Adjective,7,1
나쁜,Adjective,6,1
나서,Verb,10,1
나아,Adverb,10,1
나아지고,Verb,5,1
나았고,Verb,8,1
나았던,Verb,6,1
나았습니다,Verb,9,1
나았음,Verb,6,1
나약한,Adjective,7,1
나오고,Verb,1,1
나오고,Verb,3,1
나오고,Verb,7,1
나오네,Verb,10,1
나오는,Verb,1,1
나오는,Verb,2,1
나오는,Verb,5,1
나오는,Verb,7,1
나오는,Verb,8,1
나오는,Verb,10,1
나오는데,Verb,1,1
나오는데,Verb,7,1
