형태소,품사,분류,카운트
>,Punctuation,9,3
><,Punctuation,9,1
>=,Punctuation,9,1
>>>,Punctuation,10,2
>>>>,Punctuation,10,1
?,Punctuation,6,1
?,Punctuation,8,1
?,Punctuation,9,14
?,Punctuation,10,75
?!?!?,Punctuation,7,1
"?,",Punctuation,10,1
?.....,Punctuation,9,1
??,Punctuation,7,2
??,Punctuation,10,9
???,Punctuation,9,1
???,Punctuation,10,2
???!,Punctuation,10,1
?],Punctuation,10,1
@,Punctuation,10,1
@.@,Punctuation,10,1
A,Alpha,10,3
Amore,Alpha,10,1
Anyone,Alpha,10,2
B,Alpha,10,3
BATMAN,Alpha,9,1
BEST,Alpha,10,1
Bat,Alpha,10,1
Batman,Alpha,10,1
Be,Alpha,10,1
Begins,Alpha,9,1
Best,Alpha,10,2
Bruce,Alpha,10,1
CG,Alpha,10,2
CGV,Alpha,10,1
Can,Alpha,10,1
Com,Alpha,9,1
D,Alpha,10,2
DARK,Alpha,10,1
DC,Alpha,10,13
DIE,Alpha,9,1
DVD,Alpha,10,1
DX,Alpha,9,1
Dark,Alpha,10,1
Dc,Alpha,10,1
Death,Alpha,9,2
Deh,Alpha,10,1
EXCELLENT,Alpha,10,1
GB,Alpha,10,1
Good,Alpha,10,1
HERO,Alpha,10,1
Hero,Alpha,10,1
IMAX,Alpha,9,1
IMAX,Alpha,10,3
IN,Alpha,10,1
KNIGHT,Alpha,10,1
Knight,Alpha,10,1
LIGHT,Alpha,10,1
Light,Alpha,10,1
Lighter,Alpha,10,1
Mad,Alpha,10,1
Masterpiece,Alpha,10,1
My,Alpha,9,1
NEVER,Alpha,9,1
No,Alpha,10,1
Not,Alpha,10,4
O,Alpha,10,2
OCN,Alpha,10,2
OO,Alpha,9,2
OO,Alpha,10,3
OOO,Alpha,7,1
OOO,Alpha,9,2
OOO,Alpha,10,2
OST,Alpha,10,8
OvO,Alpha,8,1
RISE,Alpha,10,1
Rise,Alpha,10,1
S,Alpha,10,1
SF,Alpha,10,2
Sf,Alpha,9,1
THE,Alpha,10,3
TOP,Alpha,10,1
V,Alpha,10,1
Very,Alpha,9,1
WILL,Alpha,9,1
Wayne,Alpha,10,1
Wow,Alpha,10,1
[,Punctuation,10,3
],Punctuation,10,2
^^,Punctuation,8,1
^^,Punctuation,9,1
^^,Punctuation,10,3
^^;,Punctuation,9,1
^^^,Punctuation,10,1
_,Punctuation,9,1
_,Punctuation,10,1
`,Punctuation,8,1
a,Alpha,10,1
ajtw,Alpha,10,1
anyone,Alpha,10,1
are,Alpha,10,1
b,Alpha,8,1
b,Alpha,10,2
bah,Alpha,10,1
be,Alpha,10,2
best,Alpha,10,3
by,Alpha,9,1
can,Alpha,10,2
cg,Alpha,10,3
cgv,Alpha,10,2
d,Alpha,10,1
dc,Alpha,10,7
dddd,Alpha,10,1
deh,Alpha,10,1
do,Alpha,10,2
dvd,Alpha,10,2
e,Alpha,10,1
everything,Alpha,10,4
exile,Alpha,9,1
fall,Alpha,10,2
favorite,Alpha,9,1
fron,Alpha,9,1
given,Alpha,10,1
gliuklkluikg,Alpha,10,1
good,Alpha,9,1
good,Alpha,10,4
great,Alpha,10,1
hero,Alpha,10,2
in,Alpha,10,1
is,Alpha,10,1
it,Alpha,10,1
lkjlk,Alpha,10,1
man,Alpha,10,1
movie,Alpha,10,1
nice,Alpha,10,1
not,Alpha,10,3
ocn,Alpha,10,2
of,Alpha,10,2
ost,Alpha,10,7
ptsd,Alpha,9,1
rise,Alpha,10,1
s,Alpha,10,1
shay,Alpha,10,2
sksm,Alpha,10,1
so,Alpha,10,1
symbol,Alpha,10,1
the,Alpha,10,1
them,Alpha,10,1
then,Alpha,9,1
thumps,Alpha,10,1
top,Alpha,10,2
trilogy,Alpha,10,1
up,Alpha,10,2
v,Alpha,10,1
ve,Alpha,10,1
wayne,Alpha,10,1
we,Alpha,10,2
why,Alpha,10,2
with,Alpha,10,1
wlsWk,Alpha,10,1
world,Alpha,10,1
yet,Alpha,10,3
you,Alpha,10,2
z,Alpha,10,1
zzz,Alpha,9,1
~,Punctuation,8,1
~,Punctuation,9,5
~,Punctuation,10,40
~!,Punctuation,10,4
~!!,Punctuation,10,3
~!!!,Punctuation,10,1
~!!!!!,Punctuation,10,1
~!!!(,Punctuation,10,1
~^^,Punctuation,9,1
~^^,Punctuation,10,1
~~,Punctuation,9,1
~~,Punctuation,10,3
~~^^,Punctuation,10,1
~~^^*,Punctuation,10,1
~~~,Punctuation,10,6
~~~~,Punctuation,9,1
~~~~,Punctuation,10,1
‘,Foreign,10,2
’,Punctuation,10,2
“,Foreign,10,3
”,Foreign,10,2
★,Foreign,10,1
★★★★,Foreign,10,1
♡,Foreign,10,1
♡♡♡,Foreign,10,1
♥,Foreign,10,3
♥♥,Foreign,10,1
　,Foreign,10,1
『,Foreign,10,1
』,Foreign,10,1
ㄱ,KoreanParticle,9,1
ㄱ,KoreanParticle,10,1
ㄷ,KoreanParticle,10,2
ㄷㄷ,KoreanParticle,9,2
ㄷㄷ,KoreanParticle,10,9
ㄷㄷㄷ,KoreanParticle,10,1
ㄷㄷㄷㄷ,KoreanParticle,10,1
ㄷㄷㄷㄷㄷㄷㄷ,KoreanParticle,10,1
ㄹㅇ,KoreanParticle,10,4
ㅁ,KoreanParticle,10,1
ㅁㄴ,KoreanParticle,10,1
ㅁㄴㅇㄹ,KoreanParticle,10,1
ㅁㅁ,KoreanParticle,10,1
ㅁㅏ,KoreanParticle,10,1
ㅂㅅ,KoreanParticle,10,1
ㅅ,KoreanParticle,7,1
ㅅ,KoreanParticle,10,1
ㅅㄲ,KoreanParticle,10,1
ㅆ,KoreanParticle,10,1
ㅆㅅㅌㅊㅊ,KoreanParticle,10,1
ㅇ,KoreanParticle,10,4
ㅇㅁㅇ,KoreanParticle,10,1
ㅇㅅ,KoreanParticle,10,1
ㅇㅇ,KoreanParticle,10,9
ㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇㅇ,KoreanParticle,10,1
ㅇㅈ,KoreanParticle,10,1
ㅈㄴ,KoreanParticle,10,1
ㅉㅉ,KoreanParticle,10,1
ㅋ,KoreanParticle,7,1
ㅋ,KoreanParticle,8,2
ㅋ,KoreanParticle,9,4
ㅋ,KoreanParticle,10,15
ㅋㅅㅋ,KoreanParticle,10,1
ㅋㅋ,KoreanParticle,8,1
ㅋㅋ,KoreanParticle,9,4
ㅋㅋ,KoreanParticle,10,29
ㅋㅋㅋ,KoreanParticle,4,1
ㅋㅋㅋ,KoreanParticle,8,1
ㅋㅋㅋ,KoreanParticle,10,11
ㅋㅋㅋㅋ,KoreanParticle,9,3
ㅋㅋㅋㅋ,KoreanParticle,10,9
ㅋㅋㅋㅋㅋ,KoreanParticle,10,3
ㅋㅋㅋㅋㅋㅋ,KoreanParticle,10,1
ㅋㅋㅋㅋㅋㅋㅋㅋ,KoreanParticle,10,1
ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,KoreanParticle,7,1
ㅍㅍ,KoreanParticle,10,1
ㅎ,KoreanParticle,9,1
ㅎ,KoreanParticle,10,11
ㅎㄷㄷ,KoreanParticle,10,2
ㅎㅎ,KoreanParticle,9,1
ㅎㅎ,KoreanParticle,10,11
ㅎㅎㅎ,KoreanParticle,10,1
ㅎㅎㅎㅎ,KoreanParticle,10,3
ㅏ,KoreanParticle,10,2
ㅏㄷ,KoreanParticle,10,1
ㅓㅜㅑ,KoreanParticle,8,1
ㅜ,KoreanParticle,9,2
ㅜ,KoreanParticle,10,4
ㅜㅜ,KoreanParticle,8,1
ㅜㅜ,KoreanParticle,10,11
ㅜㅜㅜ,KoreanParticle,10,3
ㅜㅜㅜㅜ,KoreanParticle,10,1
ㅜㅠ,KoreanParticle,10,1
ㅠ,KoreanParticle,9,1
ㅠ,KoreanParticle,10,16
ㅠㅜ,KoreanParticle,10,4
ㅠㅠ,KoreanParticle,9,4
ㅠㅠ,KoreanParticle,10,39
ㅠㅠㅜ,KoreanParticle,10,1
ㅠㅠㅠ,KoreanParticle,10,14
ㅠㅠㅠㅠ,KoreanParticle,10,5
ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,KoreanParticle,10,1
ㅡ,KoreanParticle,10,3
ㅡㅎㅎ,KoreanParticle,10,1
ㅡㅡ,KoreanParticle,10,2
ㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡㅡ,KoreanParticle,10,1
ㅣ,KoreanParticle,10,1
乃,Foreign,10,2
甲,Foreign,10,1
가,Josa,1,2
가,Josa,4,1
가,Josa,5,1
가,Josa,7,14
가,Josa,8,18
가,Josa,9,63
가,Josa,10,327
가,Verb,9,2
가,Verb,10,9
가기,Noun,10,1
가까운,Adjective,10,2
가까웠던,Adjective,10,1
가깝게,Adjective,10,1
가끔,Noun,7,1
가끔,Noun,10,1
가네요,Verb,10,1
가는,Verb,9,1
가는,Verb,10,5
가는건,Verb,8,1
가는줄,Verb,10,1
가는줄도,Verb,10,1
가는하다,Verb,10,1
가능하겠는가,Adjective,10,1
가능하다고,Adjective,10,1
가능한,Adjective,8,1
가능했다,Adjective,10,1
가능했던,Adjective,9,1
가던가,Verb,10,1
가득,Noun,10,1
가라앉질,Verb,10,1
가려졌던,Verb,10,1
가려졌을,Verb,10,1
가려진,Noun,10,1
가르침,Noun,10,2
가름,Noun,10,1
가리는거,Verb,10,1
가만히,Adverb,10,1
가면,Noun,10,7
가볍지,Adjective,10,1
가본,Verb,8,1
가본,Verb,10,3
가볼,Verb,10,1
가봅니다,Verb,10,1
가서,Verb,10,7
가슴,Noun,9,3
가슴,Noun,10,14
가시,Noun,10,1
가시지가,Verb,10,1
가시질,Verb,10,1
가십시오,Verb,10,1
가운데,Noun,10,1
가을,Noun,10,1
가자고,Verb,9,1
가장,Noun,7,1
가장,Noun,8,5
가장,Noun,9,8
가장,Noun,10,55
가져갈수있는,Verb,10,1
가족,Noun,10,1
가줫으,Noun,10,1
가지,Noun,8,1
가지,Noun,9,2
가지,Noun,10,6
가진,Verb,7,1
가진,Verb,8,1
가진,Verb,9,1
가진,Verb,10,3
가질,Verb,10,1
가치,Noun,9,1
가치,Noun,10,3
가치관,Noun,10,1
가히,Adverb,10,6
각,Modifier,10,2
각,Noun,10,1
각각,Noun,8,1
각본,Noun,8,1
각본,Noun,10,1
각자,Noun,10,1
간,Noun,10,1
간나,Noun,10,1
간다,Noun,10,4
간데,Verb,7,1
간만,Noun,10,5
간반,Noun,9,1
간반,Noun,10,1
간은,Foreign,10,2
간은가슴이,Foreign,10,1
간의,Noun,10,1
간절해지는,Adjective,10,1
간절히,Adjective,10,1
간지,Noun,10,4
간지난다고,Verb,10,1
간지남,Verb,9,1
간지였음,Verb,10,1
간직,Noun,8,1
갈게요,Verb,10,1
갈등,Noun,10,1
갈릴,Noun,10,1
갈림길,Noun,9,1
갈수록,Noun,9,1
갈수록,Noun,10,5
갈아입은,Verb,10,1
감,Noun,7,2
감,Noun,8,1
감,Noun,9,5
감,Noun,10,18
감독,Noun,1,1
감독,Noun,8,1
감독,Noun,9,8
감독,Noun,10,70
감동,Noun,8,1
감동,Noun,9,7
감동,Noun,10,57
감명,Noun,10,1
감사하기만,Verb,10,1
감사하다,Verb,10,1
감사한다,Verb,10,2
감사할,Verb,10,1
감사합니다,Verb,10,5
감사해요,Verb,10,1
감사히,Adverb,10,1
감상,Noun,7,2
감상,Noun,8,3
감상,Noun,9,2
감상,Noun,10,13
감성,Noun,10,1
감수성,Noun,10,1
감안,Noun,10,2
감옥,Noun,10,4
감은,Verb,7,1
감은,Verb,9,1
감은,Verb,10,1
감이있었지,Verb,9,1
감있는,Verb,9,2
감있는,Verb,10,1
감있으며,Verb,10,1
감점,Noun,8,1
감점,Noun,9,1
감정,Noun,9,2
감정,Noun,10,3
감탄,Noun,9,1
감탄,Noun,10,11
감탄사,Noun,10,1
감회,Noun,10,1
감흥,Noun,9,1
감흥,Noun,10,1
감히,Noun,10,4
갑,Noun,10,3
갑니다,Verb,10,1
갑부,Noun,10,1
갑자기,Noun,6,1
갑자기,Noun,9,4
갑자기,Noun,10,2
값질거다,Adjective,10,1
갓,Noun,10,1
갔는데,Verb,8,1
갔다,Verb,10,2
강,Noun,10,1
강력한,Adjective,6,1
강력한,Adjective,10,1
강렬하게,Adjective,10,1
강렬하지만,Adjective,9,1
강렬한,Adjective,7,1
강렬한,Adjective,10,1
강렬했나,Adjective,10,1
강렬했다,Adjective,7,1
강의,Noun,10,1
강추,Noun,9,1
강추,Noun,10,3
강하게,Adjective,10,2
강하다,Adjective,8,1
강한,Adjective,9,1
강한,Adjective,10,1
강할,Adjective,9,1
강함,Adjective,9,1
강함에,Adjective,7,1
갖게,Verb,10,1
갘,Noun,10,1
같,Adjective,10,1
같네,Adjective,10,1
같네요,Adjective,9,1
같네요,Adjective,10,4
같다,Adjective,1,2
같다,Adjective,7,1
같다,Adjective,8,2
같다,Adjective,9,4
같다,Adjective,10,26
같다는,Adjective,10,2
같습니다,Adjective,10,4
같아,Adjective,10,6
같아요,Adjective,9,1
같아요,Adjective,10,2
같았던,Adjective,10,1
같았음,Adjective,8,1
같았음,Adjective,10,1
같았지만,Adjective,10,1
같은,Adjective,7,2
같은,Adjective,8,2
같은,Adjective,9,6
같은,Adjective,10,19
같은게,Adjective,9,1
같은데,Adjective,10,7
같을,Adjective,10,1
같음,Adjective,10,6
같이,Adverb,9,2
같이,Adverb,10,5
같이,Josa,8,1
같이,Josa,10,1
같잖은,Adjective,9,1
같지,Adjective,10,1
같지도,Adjective,10,1
같지만,Adjective,10,1
갚아주며,Verb,10,1
개,Noun,7,1
개,Noun,8,1
개,Noun,9,3
개,Noun,10,23
개간,Noun,9,1
개그꽁트,Noun,10,1
개꿀잼,Noun,10,1
개념,Noun,10,1
개도,Noun,10,1
개똥,Noun,5,1
개띵작,Noun,10,1
개띵작입니,Noun,10,1
개별,Noun,8,1
개별,Noun,9,1
개봉,Noun,8,1
개봉,Noun,9,1
개봉,Noun,10,32
개봉시,Noun,10,1
개봉일,Noun,10,2
개뿔,Noun,10,1
개썜,Noun,10,1
개연,Noun,9,2
개연,Noun,10,2
개운한,Adjective,7,1
개인,Noun,7,1
개인,Noun,9,5
개인,Noun,10,33
개재,Noun,10,1
개잼,Noun,10,1
개지,Noun,10,1
개쩌는듯,Noun,9,1
개쩜말,Noun,10,1
객관,Noun,10,1
갠,Noun,9,1
갠,Noun,10,2
걍,Adverb,8,1
걍,Adverb,10,11
거,Noun,1,1
거,Noun,7,1
거,Noun,9,4
거,Noun,10,35
거기,Noun,10,1
거대하고,Adjective,8,1
거대한,Adjective,9,1
거대한,Adjective,10,2
거대해지고,Adjective,8,1
거두기엔,Verb,8,1
거뒀다는데,Verb,10,1
거듭,Noun,10,1
거론,Noun,10,1
거른다,Noun,10,1
거리,Noun,2,1
거리,Noun,10,4
거릴정도,Noun,10,1
거만,Noun,7,1
거부,Noun,7,1
거부,Noun,10,1
거슬려진다,Verb,9,1
거슬렸다,Verb,9,1
거야,Eomi,9,1
거의,Noun,8,1
거의,Noun,10,5
거장,Noun,10,1
거저,Noun,10,1
거절,Noun,10,1
거지,Noun,8,1
거지,Noun,10,2
거짓,Noun,9,1
거짓,Noun,10,1
거짓말,Noun,10,1
거창하기만,Adjective,7,1
거창한,Adjective,10,1
걱정,Noun,10,3
건,Noun,8,2
건,Noun,9,6
건,Noun,10,8
건가,Noun,9,2
건가,Noun,10,5
건강하세,Adjective,10,1
건져,Verb,10,1
건지를,Verb,10,1
걷는것,Verb,9,1
걸,Noun,7,1
걸,Noun,8,1
걸,Noun,9,3
걸,Noun,10,54
걸고,Verb,10,1
걸작,Noun,7,1
걸작,Noun,8,1
걸작,Noun,9,1
걸작,Noun,10,10
걸쳐,Verb,10,1
걸쳐주며,Verb,10,2
검,Noun,10,1
겁니다,Verb,10,1
것,Noun,5,1
것,Noun,7,2
것,Noun,8,3
것,Noun,9,14
것,Noun,10,97
게,Josa,7,2
게,Josa,9,6
게,Josa,10,45
게,Noun,9,1
게,Noun,10,25
게다가,Noun,10,2
게리,Noun,8,1
게리,Noun,9,1
게리,Noun,10,3
게임,Noun,9,1
게임,Noun,10,1
겠네,Verb,10,2
겠다,Verb,10,1
겨,Noun,9,1
겨,Noun,10,1
겨우,Noun,10,2
겨울,Noun,10,1
격,Noun,10,1
격인,Noun,10,1
격차,Noun,9,1
격투,Noun,6,1
격투씬,Noun,9,2
격투씬,Noun,10,2
격하,Noun,10,1
겪고,Verb,10,1
견줄수,Noun,10,1
결,Noun,9,1
결과,Noun,10,2
결국,Adverb,9,1
결국,Adverb,10,6
결론,Noun,10,3
결말,Noun,6,1
결말,Noun,7,1
결말,Noun,8,5
결말,Noun,9,22
결말,Noun,10,58
결정,Noun,10,1
결제,Noun,10,1
결코,Noun,10,1
경,Noun,9,1
경,Noun,10,1
경계,Noun,8,1
경계,Noun,9,1
경기,Noun,10,1
경우,Noun,10,3
경의,Noun,10,3
경이,Noun,8,1
경쟁,Noun,10,1
경지,Noun,10,3
경찰,Noun,4,1
경찰,Noun,9,2
경찰,Noun,10,5
경찰관,Noun,10,1
곁,Noun,10,1
계기,Noun,10,1
계속,Noun,9,2
계속,Noun,10,18
계속계속,Adverb,10,1
계시는,Adjective,10,1
계절,Noun,10,1
계획,Noun,10,2
고,Adjective,10,1
고,Josa,8,1
고,Josa,9,6
고,Josa,10,37
고,Modifier,6,1
고,Modifier,8,1
고,Modifier,9,1
고,Modifier,10,3
고,Noun,10,1
고결한,Adjective,9,1
고군,Adjective,10,1
고난,Noun,9,2
고난,Noun,10,1
고뇌,Noun,9,1
고뇌,Noun,10,2
고담,Noun,7,2
고담,Noun,8,3
고담,Noun,9,2
고담,Noun,10,8
고담시티,Noun,8,1
고담시티,Noun,10,1
고도,Noun,10,1
고독,Noun,10,1
고든,Noun,8,1
고든,Noun,9,1
고든,Noun,10,5
고등학교,Noun,10,1
고려,Noun,10,1
고로,Noun,10,1
고립,Noun,8,1
고맙다,Adjective,10,1
고맙습니다,Adjective,10,1
고민,Noun,9,1
고민,Noun,10,1
고본,Noun,10,1
고상해질,Adjective,9,1
고생,Noun,10,2
고스트,Noun,10,1
고요,Noun,10,1
고음,Noun,10,1
고작,Noun,10,1
고전,Noun,9,1
고정관념,Noun,10,2
고조,Noun,10,2
고찰,Noun,10,3
고쳐라,Verb,10,1
고통,Noun,9,1
고통스럽다는데,Adjective,10,1
고투,Noun,10,1
고풍,Noun,9,1
고하던데,Adjective,10,1
고해,Noun,10,1
곡,Noun,10,1
곧,Noun,10,1
골,Noun,10,1
골라줘서,Verb,10,1
골수팬,Noun,10,1
곱니다,Adjective,10,2
곱씹게,Verb,9,1
곱씹으면서,Verb,10,1
곳,Noun,8,1
곳,Noun,10,3
공,Noun,10,1
공감,Noun,10,8
공권력,Noun,9,1
공무원,Noun,10,1
공식,Noun,10,2
공존,Noun,10,1
공짜,Noun,10,1
공포,Noun,10,2
공허한,Adjective,10,1
과,Josa,5,1
과,Josa,6,1
과,Josa,7,3
과,Josa,8,6
과,Josa,9,18
과,Josa,10,87
과,Noun,8,1
과,Noun,9,1
과,Noun,10,2
과거,Noun,9,1
과는,Josa,9,3
과는,Josa,10,3
과도,Josa,10,1
과도,Noun,8,1
과언,Noun,10,1
과연,Noun,6,1
과연,Noun,9,3
과연,Noun,10,6
과욕,Noun,10,1
과의,Josa,5,1
과의,Josa,10,5
과장,Noun,9,1
과정,Noun,8,2
과정,Noun,10,4
곽,Noun,9,1
관,Noun,9,2
관,Noun,10,2
관객,Noun,8,1
관객,Noun,9,1
관객,Noun,10,6
관락객,Noun,10,1
관람,Noun,8,1
관람,Noun,9,1
관람,Noun,10,5
관람객,Noun,10,2
관련,Noun,10,1
관리,Noun,10,1
관새,Noun,8,1
관심,Noun,10,1
관통,Noun,8,1
관통,Noun,10,1
관해,Noun,10,1
광광,Adverb,10,1
광기,Noun,8,1
광기,Noun,10,1
광반,Noun,8,1
광해,Noun,10,1
괜찮다,Adjective,10,2
괜찮다고,Adjective,9,1
괜찮았다,Adjective,7,1
괜찮았음,Adjective,10,1
괜찮은,Adjective,7,2
괜찮은,Adjective,9,1
괜찮은,Adjective,10,2
괜찮지만,Adjective,7,1
괜히,Adverb,9,1
괜히,Adverb,10,1
괞찮,Noun,10,1
괴롭혓다,Noun,10,1
괴롭히고,Verb,10,1
괴롭히느냐에,Verb,8,1
괴리감,Noun,10,1
굉장한,Adjective,9,1
굉장합니다,Adjective,10,1
굉장히,Adjective,8,1
굉장히,Adjective,10,2
교과서,Noun,10,1
교차,Noun,10,3
교체,Noun,7,1
교훈,Noun,8,1
교훈,Noun,9,1
교훈,Noun,10,2
구,Modifier,5,1
구,Modifier,9,1
구,Modifier,10,1
구,Noun,7,1
구,Noun,10,4
구도,Noun,10,2
구르며,Verb,10,1
구림,Noun,7,1
구매,Noun,10,3
구멍,Noun,8,1
구멍,Noun,9,1
구분,Noun,9,1
구분,Noun,10,1
구사,Noun,10,1
구성,Noun,10,2
구성원,Noun,10,1
구성은,Noun,10,1
구심,Noun,7,1
구원,Noun,10,3
구조,Noun,10,3
구질구질하게,Adjective,10,1
구한,Noun,7,1
국내,Noun,10,1
국뽕,Noun,10,2
군단,Noun,9,1
군단,Noun,10,1
군대,Noun,10,1
군더더기,Noun,8,1
군더더기,Noun,10,2
군중,Noun,10,1
굳,Adjective,10,22
굳구,Adjective,10,1
굳이,Noun,9,1
굳이,Noun,10,3
굴러갈,Verb,10,1
굴린,Noun,10,1
굴인건,Adjective,10,1
굿,Noun,9,1
굿,Noun,10,36
굿굿,Noun,10,5
굿임,Noun,10,2
굿잡,Noun,10,1
굿쟙,Noun,10,1
궁금하네요,Adjective,9,1
궁금하다,Adjective,10,1
궁금했던,Adjective,10,2
권,Suffix,10,1
권선,Noun,10,2
귀,Noun,10,2
귀감,Noun,10,1
귀여워,Adjective,10,2
귀환,Noun,10,1
귓가,Noun,10,1
규격,Noun,10,1
그,Determiner,8,1
그,Determiner,9,5
그,Determiner,10,14
그,Noun,1,1
그,Noun,5,1
그,Noun,7,3
그,Noun,8,6
그,Noun,9,12
그,Noun,10,68
그거,Noun,9,2
그거,Noun,10,1
그건,Adverb,10,2
그걸,Adverb,8,2
그걸,Adverb,9,2
그걸,Adverb,10,1
그것,Noun,10,5
그게,Noun,9,1
그게,Noun,10,2
그나마,Adverb,10,1
그나저나,Adverb,10,1
그냥,Modifier,10,3
그냥,Noun,8,2
